orbit_altitude_km,ground_station_count,atmospheric_index,is_polar_orbit,signal_delay_ms
4688.8,3,4.9,1,483.27
19472.6,9,4.8,1,505.04
31723.9,8,4.7,1,475.37
5620.5,3,1.8,1,253.54
2061.5,3,3.3,1,362.36
18443.7,7,4.7,1,527.19
31656.2,4,3.1,1,343.62
19709.1,2,4.9,0,285.74
32247.4,3,3.0,0,161.07
17167.9,1,3.9,0,259.66
7708.3,6,1.5,0,155.2
13164.7,6,2.4,1,280.59
28286.7,7,3.4,1,354.22
20728.9,9,1.1,0,227.95
20393.6,7,3.0,0,314.88
32993.3,10,3.3,1,483.21
23462.3,9,1.7,1,348.6
16635.6,3,3.1,1,244.92
23459.4,7,1.7,1,364.24
10408.6,5,4.4,1,458.61
11768.6,9,4.5,1,527.87
26687.4,2,1.6,0,7.32
13459.5,3,2.0,1,300.22
16857.7,2,3.5,0,94.76
4352.4,9,2.4,0,325.8
